katafxfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Gerard Piqué
katahpfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Alba
katahqfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Rafinha
catahwfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Javier Mascherano
catahxfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Martín Montoya
catahyfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Luis Suárez
cataiafc,4,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto
kataiffc,4,Andrés Iniesta-Xavi-Sergio Busquets-Jérémy Mathieu
cataimfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić
cataiqfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Sandro Ramírez
catairfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Daniel Alves
kataiufc,4,Andrés Iniesta-Xavi-Sergio Busquets-Sandro Ramírez
cataixfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Sergio Busquets
catajdfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Claudio Bravo
katajefc,4,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto
katajifc,4,Andrés Iniesta-Xavi-Sergio Busquets-Marc Bartra
katajkfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić
catajufc,4,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip
catajvfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić
katajwfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Jérémy Mathieu
kataknfc,4,0,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip,
cataktfc,4,0,Andrés Iniesta-Xavi-Sergio Busquets-Sandro Ramírez,
catakyfc,4,0,Andrés Iniesta-Xavi-Sergio Busquets-Munir El Haddadi,
katakwfc,4,0,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,
takaanfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-Chechu Dorado-Recio-Sergi Roberto-Dimitri Foulquier
tikiaufc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Marc Bartra,Andrés Iniesta-Xavi-Sergio Busquets-Abdoulaye Ba-Sergi Darder-Zé Castro-Marc Bartra-Dany Nounkeu
takabbfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Martín Montoya,Andrés Iniesta-Xavi-Sergio Busquets-Jesús Fernández-Dani Nieto-Martín Montoya-Antonio Barragán
tikibjfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-Mohammed Fatau-Sergi Roberto-Jeison Murillo
tikibxfc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Lionel Messi,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Mario Pašalić-Eñaut Zubikarai-Álex López-Mike Havenaar-Lionel Messi
takackfc,4,5,Andrés Iniesta-Xavi-Sergio Busquets-Xavi,Andrés Iniesta-Xavi-Sergio Busquets-Xavi-Zé Castro
tikicjfc,5,9,Andrés Iniesta-Xavi-Sergio Busquets-Gerard Piqué-Adriano,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Allan Nyom-Álex López-Gerard Piqué-Adriano-Manuel Iturra
takacnfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Sergio Busquets,Andrés Iniesta-Xavi-Sergio Busquets-Aleksandar Pantić-Juan Carlos-Sergio Busquets
tikiclfc,5,10,Andrés Iniesta-Xavi-Sergio Busquets-Claudio Bravo-Jérémy Mathieu,Andrés Iniesta-Xavi-Sergio Busquets-Jon Gaztañaga-Javi Lara-Claudio Bravo-Nicolás Otamendi-Nacho Martínez-Jonathan Castro-Jérémy Mathieu
tikicqfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Luis Suárez,Andrés Iniesta-Xavi-Sergio Busquets-Karim Yoda-López Garai-David Navarro-Luis Suárez-Javier Espinosa
takadbfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Douglas,Andrés Iniesta-Xavi-Sergio Busquets-David Costas-Laure-Vitolo-Douglas-Alberto Bueno
takadjfc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Douglas,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Dany Nounkeu-Javier Aquino-Douglas-José Raúl Baena-Emiliano Insúa
takadpfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Adriano,Andrés Iniesta-Xavi-Sergio Busquets-Edgar Méndez-Luisinho-Jeison Murillo-Adriano
